date,value
2010-06-22,99.70888
2010-06-23,99.70888
2010-06-24,99.70888
2010-06-25,99.70888
2010-06-26,99.70888
2010-06-27,99.70888
2010-06-28,99.70888
2010-06-29,99.70888
2010-06-30,99.70888
2010-07-01,99.61153
2010-07-02,99.61153
2010-07-03,99.61153
2010-07-04,99.61153
2010-07-05,99.61153
2010-07-06,99.61153
2010-07-07,99.61153
2010-07-08,99.61153
2010-07-09,99.61153
2010-07-10,99.61153
2010-07-11,99.61153
2010-07-12,99.61153
2010-07-13,99.61153
2010-07-14,99.61153
2010-07-15,99.61153
2010-07-16,99.61153
2010-07-17,99.61153
2010-07-18,99.61153
2010-07-19,99.61153
2010-07-20,99.61153
2010-07-21,99.61153
2010-07-22,99.61153
2010-07-23,99.61153
2010-07-24,99.61153
2010-07-25,99.61153
2010-07-26,99.61153
2010-07-27,99.61153
2010-07-28,99.61153
2010-07-29,99.61153
2010-07-30,99.61153
2010-07-31,99.61153
2010-08-01,99.63257
2010-08-02,99.63257
2010-08-03,99.63257
2010-08-04,99.63257
2010-08-05,99.63257
2010-08-06,99.63257
2010-08-07,99.63257
2010-08-08,99.63257
2010-08-09,99.63257
2010-08-10,99.63257
2010-08-11,99.63257
2010-08-12,99.63257
2010-08-13,99.63257
2010-08-14,99.63257
2010-08-15,99.63257
2010-08-16,99.63257
2010-08-17,99.63257
2010-08-18,99.63257
2010-08-19,99.63257
2010-08-20,99.63257
2010-08-21,99.63257
2010-08-22,99.63257
2010-08-23,99.63257
2010-08-24,99.63257
2010-08-25,99.63257
2010-08-26,99.63257
2010-08-27,99.63257
2010-08-28,99.63257
2010-08-29,99.63257
2010-08-30,99.63257
2010-08-31,99.63257
2010-09-01,99.77013
2010-09-02,99.77013
2010-09-03,99.77013
2010-09-04,99.77013
2010-09-05,99.77013
2010-09-06,99.77013
2010-09-07,99.77013
2010-09-08,99.77013
2010-09-09,99.77013
2010-09-10,99.77013
2010-09-11,99.77013
2010-09-12,99.77013
2010-09-13,99.77013
2010-09-14,99.77013
2010-09-15,99.77013
2010-09-16,99.77013
2010-09-17,99.77013
2010-09-18,99.77013
2010-09-19,99.77013
2010-09-20,99.77013
2010-09-21,99.77013
2010-09-22,99.77013
2010-09-23,99.77013
2010-09-24,99.77013
2010-09-25,99.77013
2010-09-26,99.77013
2010-09-27,99.77013
2010-09-28,99.77013
2010-09-29,99.77013
2010-09-30,99.77013
2010-10-01,99.82817
2010-10-02,99.82817
2010-10-03,99.82817
2010-10-04,99.82817
2010-10-05,99.82817
2010-10-06,99.82817
2010-10-07,99.82817
2010-10-08,99.82817
2010-10-09,99.82817
2010-10-10,99.82817
2010-10-11,99.82817
2010-10-12,99.82817
2010-10-13,99.82817
2010-10-14,99.82817
2010-10-15,99.82817
2010-10-16,99.82817
2010-10-17,99.82817
2010-10-18,99.82817
2010-10-19,99.82817
2010-10-20,99.82817
2010-10-21,99.82817
2010-10-22,99.82817
2010-10-23,99.82817
2010-10-24,99.82817
2010-10-25,99.82817
2010-10-26,99.82817
2010-10-27,99.82817
2010-10-28,99.82817
2010-10-29,99.82817
2010-10-30,99.82817
2010-10-31,99.82817
2010-11-01,99.95248
2010-11-02,99.95248
2010-11-03,99.95248
2010-11-04,99.95248
2010-11-05,99.95248
2010-11-06,99.95248
2010-11-07,99.95248
2010-11-08,99.95248
2010-11-09,99.95248
2010-11-10,99.95248
2010-11-11,99.95248
2010-11-12,99.95248
2010-11-13,99.95248
2010-11-14,99.95248
2010-11-15,99.95248
2010-11-16,99.95248
2010-11-17,99.95248
2010-11-18,99.95248
2010-11-19,99.95248
2010-11-20,99.95248
2010-11-21,99.95248
2010-11-22,99.95248
2010-11-23,99.95248
2010-11-24,99.95248
2010-11-25,99.95248
2010-11-26,99.95248
2010-11-27,99.95248
2010-11-28,99.95248
2010-11-29,99.95248
2010-11-30,99.95248
2010-12-01,99.99452
2010-12-02,99.99452
2010-12-03,99.99452
2010-12-04,99.99452
2010-12-05,99.99452
2010-12-06,99.99452
2010-12-07,99.99452
2010-12-08,99.99452
2010-12-09,99.99452
2010-12-10,99.99452
2010-12-11,99.99452
2010-12-12,99.99452
2010-12-13,99.99452
2010-12-14,99.99452
2010-12-15,99.99452
2010-12-16,99.99452
2010-12-17,99.99452
2010-12-18,99.99452
2010-12-19,99.99452
2010-12-20,99.99452
2010-12-21,99.99452
2010-12-22,99.99452
2010-12-23,99.99452
2010-12-24,99.99452
2010-12-25,99.99452
2010-12-26,99.99452
2010-12-27,99.99452
2010-12-28,99.99452
2010-12-29,99.99452
2010-12-30,99.99452
2010-12-31,99.99452
2011-01-01,100.1664
2011-01-02,100.1664
2011-01-03,100.1664
2011-01-04,100.1664
2011-01-05,100.1664
2011-01-06,100.1664
2011-01-07,100.1664
2011-01-08,100.1664
2011-01-09,100.1664
2011-01-10,100.1664
2011-01-11,100.1664
2011-01-12,100.1664
2011-01-13,100.1664
2011-01-14,100.1664
2011-01-15,100.1664
2011-01-16,100.1664
2011-01-17,100.1664
2011-01-18,100.1664
2011-01-19,100.1664
2011-01-20,100.1664
2011-01-21,100.1664
2011-01-22,100.1664
2011-01-23,100.1664
2011-01-24,100.1664
2011-01-25,100.1664
2011-01-26,100.1664
2011-01-27,100.1664
2011-01-28,100.1664
2011-01-29,100.1664
2011-01-30,100.1664
2011-01-31,100.1664
2011-02-01,100.6435
2011-02-02,100.6435
2011-02-03,100.6435
2011-02-04,100.6435
2011-02-05,100.6435
2011-02-06,100.6435
2011-02-07,100.6435
2011-02-08,100.6435
2011-02-09,100.6435
2011-02-10,100.6435
2011-02-11,100.6435
2011-02-12,100.6435
2011-02-13,100.6435
2011-02-14,100.6435
2011-02-15,100.6435
2011-02-16,100.6435
2011-02-17,100.6435
2011-02-18,100.6435
2011-02-19,100.6435
2011-02-20,100.6435
2011-02-21,100.6435
2011-02-22,100.6435
2011-02-23,100.6435
2011-02-24,100.6435
2011-02-25,100.6435
2011-02-26,100.6435
2011-02-27,100.6435
2011-02-28,100.6435
2011-03-01,101.1398
2011-03-02,101.1398
2011-03-03,101.1398
2011-03-04,101.1398
2011-03-05,101.1398
2011-03-06,101.1398
2011-03-07,101.1398
2011-03-08,101.1398
2011-03-09,101.1398
2011-03-10,101.1398
2011-03-11,101.1398
2011-03-12,101.1398
2011-03-13,101.1398
2011-03-14,101.1398
2011-03-15,101.1398
2011-03-16,101.1398
2011-03-17,101.1398
2011-03-18,101.1398
2011-03-19,101.1398
2011-03-20,101.1398
2011-03-21,101.1398
2011-03-22,101.1398
2011-03-23,101.1398
2011-03-24,101.1398
2011-03-25,101.1398
2011-03-26,101.1398
2011-03-27,101.1398
2011-03-28,101.1398
2011-03-29,101.1398
2011-03-30,101.1398
2011-03-31,101.1398
2011-04-01,102.126
2011-04-02,102.126
2011-04-03,102.126
2011-04-04,102.126
2011-04-05,102.126
2011-04-06,102.126
2011-04-07,102.126
2011-04-08,102.126
2011-04-09,102.126
2011-04-10,102.126
2011-04-11,102.126
2011-04-12,102.126
2011-04-13,102.126
2011-04-14,102.126
2011-04-15,102.126
2011-04-16,102.126
2011-04-17,102.126
2011-04-18,102.126
2011-04-19,102.126
2011-04-20,102.126
2011-04-21,102.126
2011-04-22,102.126
2011-04-23,102.126
2011-04-24,102.126
2011-04-25,102.126
2011-04-26,102.126
2011-04-27,102.126
2011-04-28,102.126
2011-04-29,102.126
2011-04-30,102.126
2011-05-01,102.7836
2011-05-02,102.7836
2011-05-03,102.7836
2011-05-04,102.7836
2011-05-05,102.7836
2011-05-06,102.7836
2011-05-07,102.7836
2011-05-08,102.7836
2011-05-09,102.7836
2011-05-10,102.7836
2011-05-11,102.7836
2011-05-12,102.7836
2011-05-13,102.7836
2011-05-14,102.7836
2011-05-15,102.7836
2011-05-16,102.7836
2011-05-17,102.7836
2011-05-18,102.7836
2011-05-19,102.7836
2011-05-20,102.7836
2011-05-21,102.7836
2011-05-22,102.7836
2011-05-23,102.7836
2011-05-24,102.7836
2011-05-25,102.7836
2011-05-26,102.7836
2011-05-27,102.7836
2011-05-28,102.7836
2011-05-29,102.7836
2011-05-30,102.7836
2011-05-31,102.7836
2011-06-01,103.2672
2011-06-02,103.2672
2011-06-03,103.2672
2011-06-04,103.2672
2011-06-05,103.2672
2011-06-06,103.2672
2011-06-07,103.2672
2011-06-08,103.2672
2011-06-09,103.2672
2011-06-10,103.2672
2011-06-11,103.2672
2011-06-12,103.2672
2011-06-13,103.2672
2011-06-14,103.2672
2011-06-15,103.2672
2011-06-16,103.2672
2011-06-17,103.2672
2011-06-18,103.2672
2011-06-19,103.2672
2011-06-20,103.2672
2011-06-21,103.2672
2011-06-22,103.2672
2011-06-23,103.2672
2011-06-24,103.2672
2011-06-25,103.2672
2011-06-26,103.2672
2011-06-27,103.2672
2011-06-28,103.2672
2011-06-29,103.2672
2011-06-30,103.2672
2011-07-01,103.1566
2011-07-02,103.1566
2011-07-03,103.1566
2011-07-04,103.1566
2011-07-05,103.1566
2011-07-06,103.1566
2011-07-07,103.1566
2011-07-08,103.1566
2011-07-09,103.1566
2011-07-10,103.1566
2011-07-11,103.1566
2011-07-12,103.1566
2011-07-13,103.1566
2011-07-14,103.1566
2011-07-15,103.1566
2011-07-16,103.1566
2011-07-17,103.1566
2011-07-18,103.1566
2011-07-19,103.1566
2011-07-20,103.1566
2011-07-21,103.1566
2011-07-22,103.1566
2011-07-23,103.1566
2011-07-24,103.1566
2011-07-25,103.1566
2011-07-26,103.1566
2011-07-27,103.1566
2011-07-28,103.1566
2011-07-29,103.1566
2011-07-30,103.1566
2011-07-31,103.1566
2011-08-01,103.248
2011-08-02,103.248
2011-08-03,103.248
2011-08-04,103.248
2011-08-05,103.248
2011-08-06,103.248
2011-08-07,103.248
2011-08-08,103.248
2011-08-09,103.248
2011-08-10,103.248
2011-08-11,103.248
2011-08-12,103.248
2011-08-13,103.248
2011-08-14,103.248
2011-08-15,103.248
2011-08-16,103.248
2011-08-17,103.248
2011-08-18,103.248
2011-08-19,103.248
2011-08-20,103.248
2011-08-21,103.248
2011-08-22,103.248
2011-08-23,103.248
2011-08-24,103.248
2011-08-25,103.248
2011-08-26,103.248
2011-08-27,103.248
2011-08-28,103.248
2011-08-29,103.248
2011-08-30,103.248
2011-08-31,103.248
2011-09-01,103.5327
2011-09-02,103.5327
2011-09-03,103.5327
2011-09-04,103.5327
2011-09-05,103.5327
2011-09-06,103.5327
2011-09-07,103.5327
2011-09-08,103.5327
2011-09-09,103.5327
2011-09-10,103.5327
2011-09-11,103.5327
2011-09-12,103.5327
2011-09-13,103.5327
2011-09-14,103.5327
2011-09-15,103.5327
2011-09-16,103.5327
2011-09-17,103.5327
2011-09-18,103.5327
2011-09-19,103.5327
2011-09-20,103.5327
2011-09-21,103.5327
2011-09-22,103.5327
2011-09-23,103.5327
2011-09-24,103.5327
2011-09-25,103.5327
2011-09-26,103.5327
2011-09-27,103.5327
2011-09-28,103.5327
2011-09-29,103.5327
2011-09-30,103.5327
2011-10-01,103.6899
2011-10-02,103.6899
2011-10-03,103.6899
2011-10-04,103.6899
2011-10-05,103.6899
2011-10-06,103.6899
2011-10-07,103.6899
